a,b,sum,carry, OF
-6067115272846651878,  6982102946174737878,   914987673328086000, 1, 1
-8060366874062312540,  -688729053275174085, -8749095927337486624, 1, 1
-5628079961872236166,  8825923690017524054,  3197843728145287888, 1, 1
 1599943223397786290, -7889044043089268377, -6289100819691482086, 0, 1
-5636400626460622924,  1943243305826297075, -3693157320634325848, 0, 1
-3371569370708916184,  1179285147392821846, -2192284223316094338, 0, 0
-4363746415012493924, -2029622618012604500, -6393369033025098424, 1, 0
 1788383771996546784,  6675982753196639811,  8464366525193186596, 0, 1
-1982591943019212063, -8787550022613560008,  7676602108076779546, 1, 0
 -890218766641702809,  5257832702547293605,  4367613935905590795, 1, 0
 5785181496982417827,  6040815099718229315, -6620747477008904475, 0, 0
 4781888999353752466,  6274118193166079596, -7390736881189719554, 0, 0
 7673540953670151460,   163143140257471818,  7836684093927623278, 0, 0
 3094555051400740999,  1637477871578921269,  4732032922979662267, 0, 0
-5048695002948525464, -4281969165932202460,  9116079904828823692, 1, 1
 5237619560122580601, -4098410925661316177,  1139208634461264423, 1, 0
  182508943049381754,  4203008557973051743,  4385517501022433498, 0, 0
-2710605822329480426, -5978608711670002161, -8689214533999482586, 1, 1
-2296680730491138245,  -758564511049818350, -3055245241540956594, 1, 1
-8816771296227887846,  3476698358387008402, -5340072937840879444, 0, 0
-7967804632574327792,  4086576009279640399, -3881228623294687392, 0, 0
-1923555456168791393,  8846689731725571393,  6923134275556779999, 1, 1
 -509491550915713990,  8544246629349879867,  8034755078434165878, 1, 1
 4194115558563370138, -6742202317196833755, -2548086758633463616, 0, 0
 1455044463595001978, -1495184219704327859,   -40139756109325880, 0, 0
-7138637764571973903,  2141129573436380672, -4997508191135593230, 0, 0
 4735427883456944171,  6807492117484349989, -6903824072768257457, 0, 0
-8297276190861705157,  4076463507034792240, -4220812683826912916, 0, 0
-2037385669166870472,  3351109022536281670,  1313723353369411198, 1, 1
 2790132534028478860, -1702349955069379335,  1087782578959099526, 1, 0
-5948594702426347711,  -260832556842157694, -6209427259268505404, 1, 1
 3341695706333251304, -9216927306675395285, -5875231600342143980, 0, 1
 4728183419013217065,  6731341437260808712, -6987219217435525838, 0, 0
 1596887168224310089,   417689964541207257,  2014577132765517345, 0, 1
 1413762954249691536, -1296312289413111576,   117450664836579960, 1, 0
 7211944393904702811, -7313590257225140129,  -101645863320437319, 0, 0
-5921268540210684752, -7988678388620043920,  4536797144878822944, 1, 0
-7495773448130646194,  5070773443877614773, -2425000004253031420, 0, 1
 8414732564759594875,  6589498388047073932, -3442513120902882808, 0, 1
 7394967475613721218,  1068444613920370015,  8463412089534091234, 0, 0
 2408473284348918729, -4518654658461767742, -2110181374112849012, 0, 1
 1648559816137469443,  7016057952031012781,  8664617768168482223, 0, 0
-6199949358767468112, -4924405635496226076,  7322389079445857428, 1, 0
 3502469614332576126, -7150913321770824925, -3648443707438248798, 0, 0
-5562961411668983946, -8171161551368829980,  4712621110671737690, 1, 0
-2208921609778702394,  1595006087527818717,  -613915522250883676, 0, 1
 4070671681169862944,  6416702717914218342, -7959369674625470330, 0, 0
-6890838674334252191, -1155434380248455822, -8046273054582708012, 1, 1
-6504487425048985538,  -644014037852099286, -7148501462901084824, 1, 1
 4431665120158562905,  8538197010630021276, -5476881942920967434, 0, 0
 6006623468393946058, -2718769740776834386,  3287853727617111672, 1, 0
 4765885012792048290,  4586421410478029658, -9094437650439473668, 0, 0
-7829917923791059488, -7107771688129375490,  3509054461789116638, 1, 0
-5595186958130495050,  1113280797883520053, -4481906160246974996, 0, 0
-2175590252804086415,  -240259237043473239, -2415849489847559655, 1, 0
-2412541986440881078,  7698595875410516944,  5286053888969635866, 1, 0
 -741035488564604095,  4518299650332825769,  3777264161768221673, 1, 1
-7793450099634144433, -4042945654761763063,  6610348319313644119, 1, 1
 4865609926133095086,  2873208530239942819,  7738818456373037906, 0, 1
-3145954933537851437, -5615829776132582096, -8761784709670433532, 1, 0
  -63566772783624883,  7109568255813754581,  7046001483030129697, 1, 0
 -178261978143301967,  2566759521676904779,  2388497543533602811, 1, 1
-5354933876210937023,  -714590249916822915, -6069524126127759939, 1, 1
 2583868074628639716, -3240866649601670320,  -656998574973030604, 0, 1
 7701850048359035232,  3670708648649768222, -7074185376700748162, 0, 0
 1909412735828891252, -8958816258008897136, -7049403522180005884, 0, 1
 2015669775480937234, -4230617939863287182, -2214948164382349948, 0, 0
-4254275357477779809, -9093672534700133031,  5098796181531638775, 1, 1
-3126725999879102504,  6077252973351313399,  2950526973472210896, 1, 0
-1895382705383207879,   569707070885383544, -1325675634497824334, 0, 0
 1901384613167011887,  8273248178331175696, -8272111282211364032, 0, 0
 2078948419885665532,  5502859595967247290,  7581808015852912822, 0, 1
 1097965373362184150, -2304855382315205505, -1206890008953021354, 0, 1
 -998525441645594862, -8509328755271450056,  8938889876792506698, 1, 1
 6695841463746080255,  3538674199257254711, -8212228410706216651, 0, 1
-5159076378039626734,  -272284914038094262, -5431361292077720996, 1, 1
  290394676418383645, -4683550479335858849, -4393155802917475205, 0, 0
 6706719726660604199,  3961439101092508553, -7778585245956438865, 0, 0
 5875027599019537277, -7548860498939323475, -1673832899919786199, 0, 1
-7953007242656803656,  5199103333983582175, -2753903908673221480, 0, 1
 3598286275300261956,  3294845053905274865,  6893131329205536822, 0, 1
 6451676350548604088, -9146635523445992318, -2694959172897388230, 0, 1
 -880702070047010949, -7442968733763892365, -8323670803810903315, 1, 1
 4431787183339578448, -1646665860596597973,  2785121322742980476, 1, 1
-3266714066946699053,  4882901422412927603,  1616187355466228549, 1, 0
-5441517265935394240, -7872867665755229334,  5132359142018928042, 1, 1
 7211392450993342519, -5913598157519829054,  1297794293473513466, 1, 1
 4138981247468602798, -4732104960610158098,  -593123713141555300, 0, 1
 4049315762301466853, -8161200399650065646, -4111884637348598792, 0, 0
-6965468699193858847,  6717711416395867084,  -247757282797991762, 0, 1
 7940030719377733418, -3546931943693176003,  4393098775684557416, 1, 1
 4337445661893136742, -2451511040730532571,  1885934621162604172, 1, 1
-6523011041163790357,  7761249482825822941,  1238238441662032583, 1, 0
 1165964451569980013,  5857305876658829383,  7023270328228809395, 0, 0
-2843511997966350343, -4564865506242560492, -7408377504208910834, 1, 0
 8656410509924073908,  4402593517146070357, -5387740046639407350, 0, 1
 2530206813867962791, -4146237617254441870, -1616030803386479078, 0, 1
-1117101610790619958,   341900831991869079,  -775200778798750878, 0, 1
 4626561213614103103,  1242976384763903396,  5869537598378006500, 0, 0
 2974683091453563480, -8116124587107899124, -5141441495654335644, 0, 0
 4947001522910468656,  5602408392374931448, -7897334158424151512, 0, 1
-7909690184094452107, -6753292157131616878,  3783761732483482632, 1, 0
-6264886440499460914,  -739258824522604249, -7004145265022065162, 1, 1
-6825475857035840592,  3378416711909031699, -3447059145126808892, 0, 0
-3510263970520730670, -3083008843629961452, -6593272814150692122, 1, 1
 4897616711797245664,  1412923286305860952,  6310539998103106616, 0, 1
 7047202071394582657, -5100328138027348799,  1946873933367233857, 1, 0
-4258543309232370315, -9128916352179013458,  5059284412298167844, 1, 0
-2765367946413424638,  8880253541292040179,  6114885594878615542, 1, 1
 3108506991900733480, -7689159359259788749, -4580652367359055268, 0, 0
 8625647422428801919, -3051780755122893799,  5573866667305908119, 1, 1
-6649432747536646420,  6869005756576849628,   219573009040203208, 1, 0
  224959883787664456,  6467879041020026539,  6692838924807690996, 0, 0
 3696485514032648573,  3276564577355576537,  6973050091388225109, 0, 1
-6518000392526563322, -7266795968470231618,  4661947712712756676, 1, 1
 6998930740635559494,  -803823134850649054,  6195107605784910440, 1, 1
-4169740089997849140,  8798068332628252986,  4628328242630403846, 1, 0
 7517504532195213650, -7660985760923005344,  -143481228727791694, 0, 0
-8431716696716516752,  6149518764919839651, -2282197931796677100, 0, 1
 1473498067362439700,  -641644037964145122,   831854029398294578, 1, 1
-2468259106858029046, -7270012361669310844,  8708472605182211726, 1, 1
 6689940896216870353,    57522910861383843,  6747463807078254195, 0, 1
-5086654316291101284,  7397188741628329166,  2310534425337227882, 1, 0
-5162115080518915325, -6739004664949510863,  6545624328241125427, 1, 1
 6515908336312600121, -7422902436291887715,  -906994099979287595, 0, 0
 1823197532519013516, -2756917895112997917,  -933720362593984400, 0, 1
 6483782794833817541,  8066978003439092934, -3895983275436641140, 0, 1
-3388098624345258763, -3476071623891561054, -6864170248236819816, 1, 0
-3399639883882977487, -7241044537356437674,  7806059652470136456, 1, 1
-4632413741034752774, -5380476081503390335,  8433854251171408508, 1, 0
 5101125258080915380,  7024717838588121557, -6320900977040514678, 0, 1
 7011918523199095484,  7674499487637461731, -3760326062872994400, 0, 1
 2587968398052847487, -3518478093577667209,  -930509695524819723, 0, 0
 5202751479003169140,  4482725693650481394, -8761266901055901082, 0, 1
 -555876413379425090, -6404665476963851884, -6960541890343276974, 1, 0
